goal	rule	score
has_symptom(D1, D)	has_symptom(arthritis, joint_pain)	1
has_symptom(S, D)	has_symptom(migraine, nausea)	1
has_symptom(S, D)	has_symptom(anxiety, dizziness)	1
requires_specialist(hypothyroidism, Doc)	requires_specialist(hypothyroidism, endocrinology)	1
has_specialty(dr_chen, D)	has_specialty(dr_chen, neurology)	1
patient(RF)	patient(patient_olivia)	1
exhibits(D, D1)	exhibits(patient_henry, shortness_of_breath)	1
diagnosed_with(D1, D)	diagnosed_with(patient_iris, hypothyroidism)	1
has_symptom(RF, chest_pain)	has_symptom(asthma, chest_pain)	1
requires_specialist(D2, gastroenterology)	requires_specialist(liver_disease, gastroenterology)	1
has_symptom(SE, D)	has_symptom(anxiety, insomnia)	1
requires_specialist(D2, cardiology)	requires_specialist(hypertension, cardiology)	1
requires_specialist(D1, D)	requires_specialist(migraine, neurology)	1
has_symptom(D2, D)	has_symptom(diabetes, blurred_vision)	1
exhibits(Doc, pale_skin)	exhibits(patient_kate, pale_skin)	1
exhibits(P, fatigue)	exhibits(patient_henry, fatigue)	1
requires_specialist(D, D2)	requires_specialist(pneumonia, infectious_disease)	1
risk_increases(D, anxiety)	risk_increases(stress, anxiety)	1
exhibits(Doc, D)	exhibits(patient_liam, swollen_joints)	1
exhibits(P, D)	exhibits(patient_noah, confusion)	1
exhibits(Doc, D)	exhibits(patient_mia, nausea)	1
has_symptom(Spec, back_pain)	has_symptom(osteoporosis, back_pain)	1
has_symptom(migraine, D)	has_symptom(migraine, nausea)	1
possible_drug_need(Doc, amoxicillin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
causes(D1, D)	causes(depression, anxiety)	1
has_symptom(hypothyroidism, D)	has_symptom(hypothyroidism, fatigue)	1
treats(D2, arthritis)	treats(ibuprofen, arthritis)	1
exhibits(D2, D)	exhibits(patient_mia, abdominal_pain)	1
exhibits(D, cough)	exhibits(patient_eve, cough)	1
risk_organ(P, heart)	risk_organ(P, Organ) :- at_risk_for(P, D), affects(D, Organ)	1
affects(D, D1)	affects(osteoporosis, bones)	1
exhibits(SE, joint_pain)	exhibits(patient_olivia, joint_pain)	1
exhibits(D2, D)	exhibits(patient_jack, dizziness)	1
requires_specialist(D, D2)	requires_specialist(alzheimers, neurology)	1
exhibits(RF, fatigue)	exhibits(patient_alice, fatigue)	1
requires_specialist(arthritis, Doc)	requires_specialist(arthritis, rheumatology)	1
exhibits(SE, D)	exhibits(patient_olivia, back_pain)	1
side_effect(D, Doc)	side_effect(fluticasone, cough)	1
requires_specialist(anxiety, RF)	requires_specialist(anxiety, psychiatry)	1
requires_specialist(D2, D)	requires_specialist(copd, pulmonology)	1
exhibits(Spec, D)	exhibits(patient_alice, fatigue)	1
side_effect(D1, D)	side_effect(amlodipine, dizziness)	1
exhibits(RF, fatigue)	exhibits(patient_mia, fatigue)	1
side_effect_from_possible_drug(P, D2)	side_effect_from_possible_drug(P, SE) :- possible_drug_need(P, Drug), side_effect(Drug, SE)	1
possible_drug_need(Doc, amlodipine)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
requires_specialist(pneumonia, SE)	requires_specialist(pneumonia, pulmonology)	1
treats(warfarin, D2)	treats(warfarin, heart_disease)	1
exhibits(patient_liam, D)	exhibits(patient_liam, fatigue)	1
exhibits(D, headache)	exhibits(patient_alice, headache)	1
possible_complication(patient_frank, D)	possible_complication(P, D2) :- may_have_disease(P, D1), causes(D1, D2)	1
treats(P, copd)	treats(fluticasone, copd)	1
may_have_disease(D1, migraine)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(D1, D)	exhibits(patient_iris, weight_gain)	1
possible_drug_need(P, metformin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
treats(RF, D)	treats(sertraline, anxiety)	1
exhibits(D, D1)	exhibits(patient_frank, muscle_weakness)	1
diagnosed_with(RF, D)	diagnosed_with(patient_iris, hypothyroidism)	1
chronic(D)	chronic(hypothyroidism)	1
has_symptom(D2, D)	has_symptom(osteoporosis, joint_pain)	1
may_have_disease(D1, stroke)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(Doc, back_pain)	exhibits(patient_olivia, back_pain)	1
has_risk_factor(D, poor_diet)	has_risk_factor(patient_alice, poor_diet)	1
exhibits(Spec, D)	exhibits(patient_iris, fatigue)	1
has_symptom(D2, fatigue)	has_symptom(influenza, fatigue)	1
patient(Doc)	patient(patient_kate)	1
requires_specialist(D1, D)	requires_specialist(stroke, neurology)	1
has_symptom(copd, D)	has_symptom(copd, cough)	1
exhibits(P, D)	exhibits(patient_grace, swollen_joints)	1
requires_specialist(D2, D)	requires_specialist(kidney_disease, nephrology)	1
chronic(D)	chronic(depression)	1
exhibits(Doc, fatigue)	exhibits(patient_grace, fatigue)	1
requires_specialist(depression, Doc)	requires_specialist(depression, psychiatry)	1
exhibits(RF, swollen_joints)	exhibits(patient_grace, swollen_joints)	1
patient(Doc)	patient(patient_liam)	1
treats(Spec, heart_disease)	treats(warfarin, heart_disease)	1
exhibits(P, D)	exhibits(patient_mia, fatigue)	1
has_symptom(D1, D)	has_symptom(stroke, headache)	1
may_have_disease(RF, D2)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(Spec, covid19)	treats(oseltamivir, covid19)	1
exhibits(Organ, D)	exhibits(patient_alice, excessive_thirst)	1
exhibits(Drug, back_pain)	exhibits(patient_olivia, back_pain)	1
has_risk_factor(D, D1)	has_risk_factor(patient_kate, poor_diet)	1
exhibits(Spec, D)	exhibits(patient_frank, fatigue)	1
treats(Spec, pneumonia)	treats(amoxicillin, pneumonia)	1
exhibits(patient_henry, shortness_of_breath)	exhibits(patient_henry, shortness_of_breath)	1
patient(RF)	patient(patient_eve)	1
has_specialty(D, oncology)	has_specialty(dr_wilson, oncology)	1
exhibits(D, D1)	exhibits(patient_olivia, joint_pain)	1
requires_specialist(anxiety, D)	requires_specialist(anxiety, psychiatry)	1
has_symptom(S, D)	has_symptom(hypertension, chest_pain)	1
risk_factor(D)	risk_factor(alcohol_abuse)	1
risk_factor(D)	risk_factor(stress)	1
exhibits(patient_jack, headache)	exhibits(patient_jack, headache)	1
has_symptom(D2, fever)	has_symptom(pneumonia, fever)	1
treats(D1, hypothyroidism)	treats(levothyroxine, hypothyroidism)	1
may_have_disease(Doc, arthritis)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(Drug, stroke)	treats(aspirin, stroke)	1
exhibits(D1, fatigue)	exhibits(patient_iris, fatigue)	1
has_symptom(Doc, D)	has_symptom(copd, shortness_of_breath)	1
exhibits(RF, cough)	exhibits(patient_eve, cough)	1
may_have_disease(SE, pneumonia)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
diagnosed_with(Spec, arthritis)	diagnosed_with(patient_grace, arthritis)	1
has_symptom(Doc, D)	has_symptom(liver_disease, fatigue)	1
exhibits(Organ, D)	exhibits(patient_dave, sadness)	1
has_symptom(D, D1)	has_symptom(kidney_disease, swollen_joints)	1
exhibits(RF, D)	exhibits(patient_alice, fatigue)	1
requires_specialist(D2, D)	requires_specialist(depression, psychiatry)	1
treats(D1, D)	treats(sertraline, depression)	1
diagnosed_with(patient_grace, D)	diagnosed_with(patient_grace, arthritis)	1
treats(Spec, liver_disease)	treats(omeprazole, liver_disease)	1
has_symptom(D2, dizziness)	has_symptom(anemia, dizziness)	1
exhibits(Doc, joint_pain)	exhibits(patient_olivia, joint_pain)	1
side_effect(atorvastatin, Drug)	side_effect(atorvastatin, muscle_weakness)	1
exhibits(Doc, D)	exhibits(patient_alice, excessive_thirst)	1
treats(RF, D)	treats(albuterol, asthma)	1
requires_specialist(D2, neurology)	requires_specialist(stroke, neurology)	1
has_symptom(D1, D)	has_symptom(heart_disease, fatigue)	1
patient(patient_olivia)	patient(patient_olivia)	1
exhibits(Organ, D)	exhibits(patient_kate, dizziness)	1
exhibits(D1, D)	exhibits(patient_carol, shortness_of_breath)	1
should_consult(Organ, P)	should_consult(P, Doc) :- needs_specialist(P, Spec), has_specialty(Doc, Spec)	1
has_risk_factor(D, D1)	has_risk_factor(patient_carol, stress)	1
requires_specialist(D2, infectious_disease)	requires_specialist(covid19, infectious_disease)	1
has_symptom(RF, frequent_urination)	has_symptom(diabetes, frequent_urination)	1
has_symptom(Doc, D)	has_symptom(depression, insomnia)	1
treats(Drug, asthma)	treats(albuterol, asthma)	1
side_effect(D1, D)	side_effect(metformin, loss_of_appetite)	1
has_risk_factor(D, D1)	has_risk_factor(patient_henry, smoking)	1
treats(RF, D)	treats(levothyroxine, hypothyroidism)	1
exhibits(Doc, joint_pain)	exhibits(patient_grace, joint_pain)	1
diagnosed_with(patient_iris, hypothyroidism)	diagnosed_with(patient_iris, hypothyroidism)	1
affected_organ(patient_henry, D)	affected_organ(P, Organ) :- diagnosed_with(P, D), affects(D, Organ)	1
treats(P, asthma)	treats(albuterol, asthma)	1
treats(albuterol, D2)	treats(albuterol, copd)	1
patient(Organ)	patient(patient_alice)	1
possible_drug_need(RF, amlodipine)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
causes(D1, D)	causes(anemia, heart_disease)	1
diagnosed_with(D, D1)	diagnosed_with(patient_henry, copd)	1
exhibits(Organ, D)	exhibits(patient_iris, weight_gain)	1
may_have_disease(Organ, kidney_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
requires_specialist(D2, psychiatry)	requires_specialist(anxiety, psychiatry)	1
relevant_doctor(P, D)	relevant_doctor(Doc, D) :- has_specialty(Doc, Spec), requires_specialist(D, Spec)	1
has_specialty(P, D)	has_specialty(dr_martinez, gastroenterology)	1
exhibits(RF, shortness_of_breath)	exhibits(patient_carol, shortness_of_breath)	1
exhibits(RF, D)	exhibits(patient_frank, fatigue)	1
exhibits(Drug, dizziness)	exhibits(patient_kate, dizziness)	1
symptom(D)	symptom(swollen_joints)	1
exhibits(Doc, D)	exhibits(patient_dave, sadness)	1
may_have_disease(Drug, D1)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(D2, fever)	has_symptom(covid19, fever)	1
possible_drug_need(RF, fluticasone)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(patient_grace, D)	exhibits(patient_grace, fatigue)	1
exhibits(patient_noah, D)	exhibits(patient_noah, memory_loss)	1
exhibits(patient_frank, D)	exhibits(patient_frank, fever)	1
has_symptom(covid19, D)	has_symptom(covid19, fatigue)	1
patient(Drug)	patient(patient_dave)	1
exhibits(P, dizziness)	exhibits(patient_jack, dizziness)	1
diagnosed_with(RF, D)	diagnosed_with(patient_frank, influenza)	1
risk_increases(smoking, copd)	risk_increases(smoking, copd)	1
has_symptom(S, D)	has_symptom(cancer, weight_loss)	1
exhibits(Doc, D)	exhibits(patient_kate, dizziness)	1
affects(D, heart)	affects(hypertension, heart)	1
exhibits(patient_dave, D)	exhibits(patient_dave, insomnia)	1
requires_specialist(D, D1)	requires_specialist(stroke, neurology)	1
diagnosed_with(Spec, anxiety)	diagnosed_with(patient_dave, anxiety)	1
diagnosed_with(D1, D)	diagnosed_with(patient_dave, anxiety)	1
treats(D1, D)	treats(albuterol, copd)	1
treats(Spec, copd)	treats(albuterol, copd)	1
causes(D, Drug)	causes(hypertension, stroke)	1
treats(D1, asthma)	treats(fluticasone, asthma)	1
has_symptom(SE, D)	has_symptom(pneumonia, fatigue)	1
side_effect(D1, D)	side_effect(ibuprofen, nausea)	1
may_have_disease(Organ, arthritis)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(Drug, shortness_of_breath)	exhibits(patient_henry, shortness_of_breath)	1
treats(D2, kidney_disease)	treats(lisinopril, kidney_disease)	1
requires_specialist(heart_disease, Organ)	requires_specialist(heart_disease, cardiology)	1
exhibits(Organ, fatigue)	exhibits(patient_grace, fatigue)	1
exhibits(patient_kate, pale_skin)	exhibits(patient_kate, pale_skin)	1
has_symptom(D, D1)	has_symptom(arthritis, fatigue)	1
requires_specialist(kidney_disease, SE)	requires_specialist(kidney_disease, nephrology)	1
treats(sertraline, D2)	treats(sertraline, depression)	1
treats(Organ, pneumonia)	treats(amoxicillin, pneumonia)	1
has_symptom(D1, D)	has_symptom(influenza, muscle_weakness)	1
has_symptom(D2, shortness_of_breath)	has_symptom(heart_disease, shortness_of_breath)	1
has_symptom(hypertension, D)	has_symptom(hypertension, dizziness)	1
risk_increases(smoking, stroke)	risk_increases(smoking, stroke)	1
risk_increases(diabetes_history, D)	risk_increases(diabetes_history, heart_disease)	1
has_symptom(D, D1)	has_symptom(liver_disease, fatigue)	1
has_symptom(Doc, D)	has_symptom(diabetes, excessive_thirst)	1
exhibits(D1, D)	exhibits(patient_iris, fatigue)	1
possible_drug_need(RF, aspirin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
has_risk_factor(P, D)	has_risk_factor(patient_dave, sedentary_lifestyle)	1
exhibits(Doc, shortness_of_breath)	exhibits(patient_henry, shortness_of_breath)	1
has_specialty(P, D)	has_specialty(dr_chen, neurology)	1
at_risk_for(patient_carol, diabetes)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
possible_drug_need(RF, amoxicillin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(Drug, fatigue)	exhibits(patient_liam, fatigue)	1
exhibits(SE, D)	exhibits(patient_bob, shortness_of_breath)	1
treats(Spec, D)	treats(atorvastatin, hypertension)	1
has_symptom(anxiety, D)	has_symptom(anxiety, sweating)	1
exhibits(patient_bob, shortness_of_breath)	exhibits(patient_bob, shortness_of_breath)	1
treats(Drug, D)	treats(prednisone, asthma)	1
diagnosed_with(RF, D)	diagnosed_with(patient_dave, anxiety)	1
exhibits(Spec, D)	exhibits(patient_dave, insomnia)	1
has_symptom(D, frequent_urination)	has_symptom(diabetes, frequent_urination)	1
has_symptom(hypertension, D)	has_symptom(hypertension, headache)	1
exhibits(P, D)	exhibits(patient_henry, shortness_of_breath)	1
has_symptom(D1, fatigue)	has_symptom(cancer, fatigue)	1
diagnosed_with(D, D1)	diagnosed_with(patient_olivia, osteoporosis)	1
affects(D, D1)	affects(cancer, liver)	1
may_have_disease(Organ, cancer)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(D1, D)	has_symptom(migraine, dizziness)	1
has_symptom(D, D1)	has_symptom(depression, insomnia)	1
has_symptom(depression, D)	has_symptom(depression, insomnia)	1
exhibits(Spec, D)	exhibits(patient_grace, swollen_joints)	1
exhibits(SE, D)	exhibits(patient_carol, dizziness)	1
requires_specialist(stroke, P)	requires_specialist(stroke, neurology)	1
needs_specialist(Drug, SE)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
treats(D1, heart_disease)	treats(warfarin, heart_disease)	1
has_risk_factor(D, sedentary_lifestyle)	has_risk_factor(patient_alice, sedentary_lifestyle)	1
affects(D1, D)	affects(anxiety, brain)	1
may_have_disease(Doc, asthma)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
possible_drug_need(P, amoxicillin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
side_effect(D, Drug)	side_effect(levothyroxine, sweating)	1
may_have_disease(Organ, heart_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
patient(Doc)	patient(patient_olivia)	1
has_specialty(SE, D)	has_specialty(dr_chen, neurology)	1
has_symptom(Doc, D)	has_symptom(diabetes, weight_loss)	1
has_symptom(D2, shortness_of_breath)	has_symptom(asthma, shortness_of_breath)	1
at_risk_specialist(patient_carol, D2)	at_risk_specialist(P, Spec) :- at_risk_for(P, D), requires_specialist(D, Spec)	1
requires_specialist(D1, D)	requires_specialist(anxiety, psychiatry)	1
exhibits(Doc, cough)	exhibits(patient_henry, cough)	1
exhibits(D1, fever)	exhibits(patient_frank, fever)	1
has_symptom(RF, cough)	has_symptom(covid19, cough)	1
has_risk_factor(P, D)	has_risk_factor(patient_eve, aging)	1
diagnosed_with(Spec, alzheimers)	diagnosed_with(patient_noah, alzheimers)	1
treats(amlodipine, D2)	treats(amlodipine, heart_disease)	1
exhibits(Organ, headache)	exhibits(patient_alice, headache)	1
has_risk_factor(D, D1)	has_risk_factor(patient_carol, smoking)	1
requires_specialist(D, D2)	requires_specialist(diabetes, endocrinology)	1
exhibits(Organ, confusion)	exhibits(patient_noah, confusion)	1
has_symptom(Doc, D)	has_symptom(osteoporosis, back_pain)	1
side_effect(D, Drug)	side_effect(levothyroxine, insomnia)	1
side_effect(D, muscle_weakness)	side_effect(atorvastatin, muscle_weakness)	1
requires_specialist(liver_disease, gastroenterology)	requires_specialist(liver_disease, gastroenterology)	1
exhibits(Doc, fatigue)	exhibits(patient_eve, fatigue)	1
treats(Drug, heart_disease)	treats(amlodipine, heart_disease)	1
may_have_disease(Organ, depression)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(D2, hypertension)	treats(atorvastatin, hypertension)	1
has_symptom(stroke, confusion)	has_symptom(stroke, confusion)	1
needs_specialist(RF, Organ)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
has_symptom(RF, sadness)	has_symptom(depression, sadness)	1
has_symptom(D2, fatigue)	has_symptom(liver_disease, fatigue)	1
has_symptom(Doc, D)	has_symptom(kidney_disease, fatigue)	1
side_effect(D1, D)	side_effect(fluticasone, cough)	1
may_have_disease(P, copd)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(Drug, copd)	treats(fluticasone, copd)	1
patient(RF)	patient(patient_henry)	1
needs_specialist(SE, Doc)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
possible_drug_need(Doc, ibuprofen)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(SE, fatigue)	exhibits(patient_alice, fatigue)	1
has_symptom(D1, cough)	has_symptom(copd, cough)	1
exhibits(P, D)	exhibits(patient_henry, cough)	1
treats(Drug, D)	treats(ibuprofen, arthritis)	1
symptom(D)	symptom(abdominal_pain)	1
exhibits(SE, shortness_of_breath)	exhibits(patient_henry, shortness_of_breath)	1
has_risk_factor(D, D1)	has_risk_factor(patient_iris, aging)	1
exhibits(SE, fatigue)	exhibits(patient_mia, fatigue)	1
has_symptom(RF, cough)	has_symptom(pneumonia, cough)	1
symptom(D)	symptom(weight_gain)	1
requires_specialist(diabetes, endocrinology)	requires_specialist(diabetes, endocrinology)	1
risk_increases(smoking, D1)	risk_increases(smoking, cancer)	1
exhibits(RF, D)	exhibits(patient_dave, insomnia)	1
affects(D, D1)	affects(liver_disease, liver)	1
exhibits(Organ, cough)	exhibits(patient_eve, cough)	1
treats(Drug, heart_disease)	treats(atorvastatin, heart_disease)	1
has_symptom(cancer, D)	has_symptom(cancer, fatigue)	1
exhibits(D, nausea)	exhibits(patient_mia, nausea)	1
should_consult(D, SE)	should_consult(P, Doc) :- needs_specialist(P, Spec), has_specialty(Doc, Spec)	1
possible_drug_need(Spec, Organ)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(D, D1)	exhibits(patient_henry, fatigue)	1
risk_increases(poor_diet, D1)	risk_increases(poor_diet, heart_disease)	1
side_effect_from_possible_drug(RF, Drug)	side_effect_from_possible_drug(P, SE) :- possible_drug_need(P, Drug), side_effect(Drug, SE)	1
patient(D)	patient(patient_iris)	1
diagnosed_with(D, D1)	diagnosed_with(patient_alice, heart_disease)	1
exhibits(D, fatigue)	exhibits(patient_iris, fatigue)	1
has_symptom(RF, insomnia)	has_symptom(anxiety, insomnia)	1
has_symptom(SE, D)	has_symptom(copd, cough)	1
diagnosed_with(patient_carol, hypertension)	diagnosed_with(patient_carol, hypertension)	1
treats(amlodipine, D2)	treats(amlodipine, hypertension)	1
requires_specialist(hypothyroidism, D)	requires_specialist(hypothyroidism, endocrinology)	1
possible_drug_need(Doc, metformin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
requires_specialist(D, D2)	requires_specialist(kidney_disease, nephrology)	1
risk_increases(obesity, D1)	risk_increases(obesity, hypertension)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_kate, poor_diet)	1
has_symptom(SE, D)	has_symptom(covid19, cough)	1
treats(Spec, D)	treats(omeprazole, liver_disease)	1
exhibits(SE, D)	exhibits(patient_alice, headache)	1
requires_specialist(D, neurology)	requires_specialist(alzheimers, neurology)	1
affects(D1, D)	affects(copd, lungs)	1
complication_risk(D, anxiety)	complication_risk(P, D2) :- diagnosed_with(P, D1), causes(D1, D2)	1
exhibits(Doc, dizziness)	exhibits(patient_kate, dizziness)	1
has_symptom(Spec, shortness_of_breath)	has_symptom(copd, shortness_of_breath)	1
has_specialty(S, gastroenterology)	has_specialty(dr_martinez, gastroenterology)	1
exhibits(RF, D)	exhibits(patient_henry, cough)	1
exhibits(D, fatigue)	exhibits(patient_frank, fatigue)	1
requires_specialist(D1, D)	requires_specialist(covid19, infectious_disease)	1
risk_increases(smoking, D1)	risk_increases(smoking, copd)	1
exhibits(Organ, fatigue)	exhibits(patient_kate, fatigue)	1
exhibits(Drug, cough)	exhibits(patient_henry, cough)	1
exhibits(S, D)	exhibits(patient_iris, fatigue)	1
has_risk_factor(D, sedentary_lifestyle)	has_risk_factor(patient_henry, sedentary_lifestyle)	1
treats(D, copd)	treats(fluticasone, copd)	1
exhibits(Organ, abdominal_pain)	exhibits(patient_mia, abdominal_pain)	1
has_symptom(S, D)	has_symptom(pneumonia, fever)	1
may_have_disease(Doc, anxiety)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
may_have_disease(D, D1)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
causes(D, Drug)	causes(hypertension, heart_disease)	1
has_symptom(D2, D)	has_symptom(diabetes, excessive_thirst)	1
diagnosed_with(RF, D)	diagnosed_with(patient_eve, pneumonia)	1
exhibits(RF, nausea)	exhibits(patient_mia, nausea)	1
has_symptom(SE, D)	has_symptom(pneumonia, cough)	1
treats(Spec, hypertension)	treats(atorvastatin, hypertension)	1
has_symptom(alzheimers, D)	has_symptom(alzheimers, memory_loss)	1
exhibits(D, confusion)	exhibits(patient_noah, confusion)	1
exhibits(P, memory_loss)	exhibits(patient_noah, memory_loss)	1
exhibits(S, D)	exhibits(patient_frank, fatigue)	1
exhibits(Spec, D)	exhibits(patient_jack, headache)	1
has_symptom(RF, memory_loss)	has_symptom(alzheimers, memory_loss)	1
diagnosed_with(RF, D)	diagnosed_with(patient_carol, hypertension)	1
has_symptom(D2, dizziness)	has_symptom(anxiety, dizziness)	1
diagnosed_with(patient_noah, D)	diagnosed_with(patient_noah, alzheimers)	1
has_symptom(arthritis, D)	has_symptom(arthritis, joint_pain)	1
has_symptom(Spec, fatigue)	has_symptom(pneumonia, fatigue)	1
treats(Drug, D)	treats(sertraline, anxiety)	1
may_have_disease(Organ, D)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
possible_drug_need(patient_grace, albuterol)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(D2, D)	exhibits(patient_iris, fatigue)	1
has_symptom(D, D1)	has_symptom(hypothyroidism, fatigue)	1
may_have_disease(D, kidney_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(patient_eve, D)	exhibits(patient_eve, fever)	1
has_specialty(D1, D)	has_specialty(dr_brown, psychiatry)	1
has_symptom(S, D)	has_symptom(depression, fatigue)	1
has_symptom(D, chest_pain)	has_symptom(heart_disease, chest_pain)	1
has_symptom(D2, D)	has_symptom(diabetes, weight_loss)	1
exhibits(Drug, headache)	exhibits(patient_jack, headache)	1
chronic(D)	chronic(arthritis)	1
may_have_disease(RF, migraine)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(Organ, migraine)	treats(ibuprofen, migraine)	1
has_symptom(SE, D)	has_symptom(anemia, fatigue)	1
has_symptom(D2, frequent_urination)	has_symptom(diabetes, frequent_urination)	1
side_effect(albuterol, D)	side_effect(albuterol, sweating)	1
requires_specialist(D2, infectious_disease)	requires_specialist(influenza, infectious_disease)	1
exhibits(D2, D)	exhibits(patient_frank, fatigue)	1
patient(P)	patient(patient_dave)	1
needs_specialist(Drug, D)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
side_effect(D, D2)	side_effect(albuterol, sweating)	1
has_symptom(D2, D)	has_symptom(osteoporosis, back_pain)	1
treats(P, copd)	treats(albuterol, copd)	1
exhibits(D, D1)	exhibits(patient_iris, muscle_weakness)	1
side_effect(D, Doc)	side_effect(sertraline, insomnia)	1
has_risk_factor(patient_bob, smoking)	has_risk_factor(patient_bob, smoking)	1
treats(D2, hypothyroidism)	treats(levothyroxine, hypothyroidism)	1
has_symptom(D1, D)	has_symptom(asthma, chest_pain)	1
has_symptom(D2, fever)	has_symptom(influenza, fever)	1
treats(D1, D)	treats(fluticasone, asthma)	1
has_symptom(S, D)	has_symptom(heart_disease, shortness_of_breath)	1
exhibits(SE, D)	exhibits(patient_alice, frequent_urination)	1
diagnosed_with(D, D1)	diagnosed_with(patient_jack, migraine)	1
has_symptom(pneumonia, D)	has_symptom(pneumonia, fatigue)	1
has_symptom(D1, D)	has_symptom(liver_disease, abdominal_pain)	1
has_specialty(S, rheumatology)	has_specialty(dr_taylor, rheumatology)	1
has_symptom(Doc, D)	has_symptom(arthritis, joint_pain)	1
risk_increases(D, alzheimers)	risk_increases(aging, alzheimers)	1
has_symptom(D2, muscle_weakness)	has_symptom(hypothyroidism, muscle_weakness)	1
exhibits(D1, fever)	exhibits(patient_eve, fever)	1
diagnosed_with(patient_henry, D)	diagnosed_with(patient_henry, copd)	1
patient(Doc)	patient(patient_eve)	1
exhibits(Spec, D)	exhibits(patient_frank, muscle_weakness)	1
patient(Drug)	patient(patient_bob)	1
has_symptom(D2, fatigue)	has_symptom(kidney_disease, fatigue)	1
side_effect(ibuprofen, Drug)	side_effect(ibuprofen, nausea)	1
exhibits(D1, nausea)	exhibits(patient_mia, nausea)	1
patient(RF)	patient(patient_mia)	1
has_symptom(D, muscle_weakness)	has_symptom(hypothyroidism, muscle_weakness)	1
treats(P, hypertension)	treats(amlodipine, hypertension)	1
has_symptom(S, D)	has_symptom(anemia, pale_skin)	1
has_symptom(Spec, chest_pain)	has_symptom(asthma, chest_pain)	1
side_effect(D, Organ)	side_effect(albuterol, sweating)	1
requires_specialist(diabetes, Organ)	requires_specialist(diabetes, endocrinology)	1
patient(D1)	patient(patient_grace)	1
may_have_disease(D, influenza)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
side_effect(D, Drug)	side_effect(metformin, nausea)	1
treats(Drug, arthritis)	treats(ibuprofen, arthritis)	1
requires_specialist(D2, pulmonology)	requires_specialist(copd, pulmonology)	1
exhibits(D1, fatigue)	exhibits(patient_eve, fatigue)	1
has_symptom(S, D)	has_symptom(asthma, shortness_of_breath)	1
requires_specialist(D, RF)	requires_specialist(covid19, infectious_disease)	1
exhibits(SE, D)	exhibits(patient_jack, dizziness)	1
has_symptom(RF, muscle_weakness)	has_symptom(hypothyroidism, muscle_weakness)	1
exhibits(P, frequent_urination)	exhibits(patient_alice, frequent_urination)	1
